Event,Sentence,Words,Nb_Words,Links,Conditions
1A,Je suis,"Malo,Maë,Eliot.te,Jules,Arthur,Malik,Justine,Elise,Adèle,Rima,Nour,Johnny,Nabil,Ibrahim,Olivier,Pat’,Akahi,Eliane,Marie-Thérèse,Janine,Xavier,Vincent,Bernard,Salomé,Lumi,Adrien,le Grand Schtroumpf,Wissam,Grégoire,Valentin,Jérôme,Ali,Johann,Lucien,Bastien,José,François,Luffy,Naruto,Mikasa,Zinedine,Renaud,Isabelle,Léa,Josiane,Tessa,Jeanne,Ophélie,Nouara,Oksana",3,"2A,2A,2A,2B,2B,2B,2C,2C,2C,2D,2D,2E,2F,2F,2F,2G,2H,2I,2I,2I,2J,2J,2J,2K,2K,2L,2M,2N,2N,2N,2N,2N,2N,2N,2N,2N,2O,2P,2Q,2R,2S,2T,2U1,2U2,2U,2U,2U,2U,2U,2U",
2A,$1A est,"Non-binaire,Lesbien.e,Bisexuel.le",3,"3A,7A,7A",
3A,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"4A,5A,6A",
4A,Changement de nom Front populaire,,,,
5A,Changement de nom RN,,,,
6A,Changement de nom EM,,,,
2B,"Le matin, $1A aime s’acheter","un petit pain,un pain au chocolat,une chocolatine",3,"3B,3B,3B",
3B,"Après son petit déjeuner, $1A vote","blanc,sans conviction,par dépit",3,"4B,5B,5B",
4B,Reconnaissance du vote blanc,,,,
5B,6ème République,,,,
2C,$1A est,"maman,institutrice",3,"3C,3C",
3C,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"4C,9C,10C",
4C,"Ecole entièrement gratuite dès la rentrée
Prof recrutement",,,,
5C,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"6C,7C,8C",
9C,École & enfants RN,,,,
10C,école & enfants EM,,,,
2D,$1A est,Palestinienne,1,3D,
3D,$1A vit,"sous les bombes, en France",2,"4D,5D",
4D,$1A fait partie des … chiffres Palestine.,,,,
5D,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"6D,7D,8D",
6D,Reconnaissance de l’État Palestinien !,,,,
7D,RN & Palestine,,,,
8D,EM & Palestine,,,,
2E,$1A veut,"allumer le feu,avoir l’envie d’avoir envie,ouvrir les portes du pénitencier",3,"3E,3E,3E",
3E,$1A vote,"Sarkozy,Paul Bismuth",2,"4E,4E",
4E,"Si $1A était parmi nous, il voterait Front Populaire.",,,,
2F,$1A est,"professeur de philosophie,prof de maths,prof d’histoire",3,"3F,4F,5F",
2G,$1A c’est,"un flic,un gros con,un agent des forces de l’ordre",3,"3G,3G,3G",
3G,"Quand il circule à pied dans la ville, on peut dire que $1A","patrouille,circule",2,"4G,4G",
4G,"$1A, contre toute attente, il vote","Rassemblement National,Reconquête",2,"5G,5G",
5G,"Mais en fait, si $1A votait pour le","Nouveau Front populaire,Parti animaliste",2,"6G,7G",
6G,Programme conditionnel pour la police,,,,
7G,$1A pourrait prendre soin des gros porcs et des petits chiens mignons. Mais moins bien que s’il avait voté pour le Nouveau Front Populaire. PRORGRAMME ANIMAUX,,,,
2H,$1A est,Kanak,1,3H,
3H,"Le père du grand-père de $1A était un esclave. S’il avait pu, il aurait voté pour","l’indépendance des peuples,l’égalité de toutes et tous,le droit à l’auto-détermination",3,"4H,4H,4H",
4H,"Son ancêtre est mort sans qu’on lui ait reconnu sa liberté. Alors, maintenant $1A vote","l’indépendance des peuples,l’égalité de toutes et tous,le droit à l’auto-détermination",3,"5H,5H,5H",
5H,"Mais d’autres sont venu s’installer, coloniser, dominer et son vote ne vaut plus rien. Le 27 Juillet, si $1A vote","Front populaire,Rassemblement National,En Marche",3,"6H,7H,8H",
6H,"Front Populaire, Kanaky",,,,
7H,RN & Kanaky,,,,
8H,EM & Kanaky,,,,
3F,"Il paraît que la superstructure de la Caverne détermine l’infrastructure de la production des phénomènes. Par conséquent, $1A vote",Nouveau Front populaire,1,,
4F,(a+b)² =,"a+b+2ab²,a²+b²",2,"7F,7F",
5F,"Un chapitre que $1A a toujours aimé enseigner, c’est le chapitre du",Front Populaire,1,6F,
7F,"T’es nul en maths, mais tu peux toujours voter",Front Populaire,1,6F,
6F,Education Front Pop,,,,
2I,$1A a,"58 ans,60 ans,62 ans",3,"3I,4I,5I",
3I,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"6I,7I,8I",
4I,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"9I,10I,11I",
5I,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"12I,13I,14I",
6I,RETRAITE FP 58ans,,,,
7I,RETRAITE RN 58 ans,,,,
8I,RETRAITE EM 58 ans,,,,
9I,RETRAITE FP 60ans,,,,
10I,RETRAITE RN 60 ans,,,,
11I,RETRAITE EM 60 ans,,,,
12I,RETRAITE FP 62ans,,,,
13I,RETRAITE RN 62 ans,,,,
14I,RETRAITE EM 62 ans,,,,
2J,$1A aimerait bien pouvoir s’acheter un troisième,"yacht,jet privé,journal d’extrême droite",3,"3J,3J,3J",
3J,$1A vote,"Rassemblement National,En Marche",2,"4J,5J",
4J,Parce que le RN est le meilleur allié des milliardaires,,,,
5J,Parce qu’En Marche est le parti des milliardaires,,,,
7A,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"8A,9A,10A",
8A,LGBT NFP,,,,
9A,LGBT RN,,,,
10A,LGBT EM,,,,
2K,$1A est,"journaliste,éditorialiste",2,"3K,3K",
3K,"$1A a pas vraiment le droit de le dire, mais en vrai, elle vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"4K,5K,6K",
4K,Média NFP,,,,
5K,"Média RN : privatisation, dissolution du public",,,,
6K,Média EM,,,,
2L,$1A est,"roux,problématique,député",3,3L,
3L,"Du coup, on","va militer sur les autres circos,vote quand même pour le Nouveau Front Populaire,le dégagera plus tard",3,"4L,4L,4L",
4L,"Votez NFP, on s'engueulera plus tard",,,,
2M,$1A ressemble quand même vachement à,"Karl Marx,Schtroumpf à lunettes sans lunettes,Pacôme Thiellement",3,"3M,3M,3M",
3M,$1A et $2M voteraient pour le Nouveau Front Populaire s’ils existaient vraiment !,,,,
2N,$1A est,"locataire d’un 25 m² à 800e/mois,au chômage,au RSA,patron d’une PME,acteur,chanteur,développeur de jeux vidéo,agriculteur,en situation de handicap",3,"33N,44N,44N,66N,7N,7N,99N,100N,111N",
3N,"La moitié du salaire de $1A lui sert à se loger. 
Alors $1A vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"12N,13,14N",
4N,"Parfois, $1A aimerait avoir une vie meilleure.
Alors $1A vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"15N,16N,17N",
6N,"Le commerce de $1A est en difficulté. 
Alors $1A vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"18N,19N,20N",
7N,Mais la carrière de $1A ne décolle pas vraiment. Alors quand $1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"21N,22N,23N",
9N,"Alors, entre deux burnouts, $1A vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"24N,25N,26N",
10N,"Quand il a fini sa semaine de 60h, $1A vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"27N,28N,29N",
11N,"En fait, $1A a surtout l’habitude de devoir se battre pour conserver son autonomie dans une société où la valeur d’un individu se réduit à sa productivité.
Alors $1A vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"30N,31N,32N",
12N,NFP Logement,,,,
13N,RN Logement,,,,
14N,EM Logement,,,,
15N,NFP RSA/Chômage,,,,
16N,RN RSA/Chômage,,,,
17N,EM RSA/Chômage,,,,
18N,NFP PME,,,,
19N,RN PME,,,,
20N,EM PME,,,,
21N,$1A s’assure du maintien de son régime d’intermittent du spectacle. PROGRAMME NFP CULTURE,,,,
22N,$1A doit stopper sa carrière faut de revenus. PROGRAMME RN CULTURE,,,,
23N,$1A doit stopper sa carrière faut de revenus. PROGRAMME EM CULTURE,,,,
24N,NFP jeux vidéo,,,,
25N,RN jeux vidéo,,,,
26N,LREM jeux vidéo,,,,
27N,NFP Agri,,,,
28N,RN Agri,,,,
29N,LREM Agri,,,,
30N,NFP Handicap,,,,
31N,RN Handicap,,,,
32N,EM Handicap,,,,
33N,C’est pas facile de garder le morale quand,"on dort dans sa cuisine,on a le cafard,on a des cafards",3,"3N,3N,3N",
44N,"Quand on vit avec 800e/mois pour deux, c’est pas évident de","trouver du travail,manger à sa fin,s’acheter une Rolex",3,"4N,4N,4N",
66N,$1A avait toujours rêvé d’ouvrir,"un bar à écureuil,la porte du siège des Républicains,une librairie féministe",3,"6N,6N,6N",
99N,"Le mieux quand on fait des jeux vidéo, c’est qu’on peut","faire de notre travail un loisir,travailler 75h par semaine,se faire harceler par son patron",3,"9 N,9 N,9 N",
100N,"En ce moment, c’est","la récolte des fraises,le temps de cerises,la galère",3,"10N,10N,10N",
111N,"$1A est en situation de handicap. 
Bien sûr qu’il","adore recevoir l’aide non-sollicitée des passants,rêve d’être productif au travail,voudrait être normal",3,"11N,11N,11N",
2O,$1A habite,"en Corrèze, en Hollande, aux Pays-Bas",3,"3O,3O,3O",
3O,$1A is,"to be do,what you want to be do",2,"4O,4O",
4O,"Contre toute attente, $1A vote pour",le Nouveau Front Populaire,1,3L,
2P,"Plus tard, $1A sera","le Seigneur des Pirates,champion de natation,un membre de l’armée révolutionnaire",3,"3P,3P,3P",
3P,"S’il avait le droit de vote, $1A voterait pour",le Nouveau Front Populaire,1,4P,
4P,MANGAS FRONT NATIONAL,,,,
2Q,"Plus tard, $1A sera","le prochain Hokage,vendeur de ramens,éleveur de renards",3,"3Q,3Q,3Q",
3Q,S’il avait le droit de se présenter aux élections $1A serait devenu,"Premier Ministre,Maire d'un village caché de la forêt ",2,"4Q,4Q1",
4Q,Mais c’est pas grave parce qu’à la place on aura,"Mathilde Panot,Le Vieux,Ruffin,Poutou,n’importe qui du moment qu’iel peut défoncer Madara et Bardella",5,"4P,4P,4P,4P,4P",
2R,"$1A a fait face à Eren. 
Maintenant c’est à notre de faire face","au RN, à Bardella",2,"4P,3R",
3R,"Alors oui mais ça casse un peu le slogan en fait. 
Parce que Eren ça ressemble vachement à","RN, Bardella",2,"4P,4R",
4R,"Ben non, toujours pas. 
Enfin tout ça pour dire que $1A elle aurait voté pour",le Nouveau Front Populaire,1,4P,
2S,$1A il a quand même,"un sacré coup de tête,un front populaire,fait des trucs stylés avec un ballon",3,"3S,4S,3S",
4S,Au moins aussi populaire que,le Nouveau Front Populaire,1,5S,
3S,"Et s’il était encore vivant, c’est sûr il voterait pour",le Nouveau Front Populaire,1,5S,
5S,NFP SPORT,,,,
2T,$1A il est,"toujours debout,assis sur un banc avec toi,assis sur ses convictions",3,"3T,3T,3T",
3T,Si $1A était encore vivant il aurait sûrement appelé à voter pour,le Nouveau Front Populaire,1,4T,
4T,Programme NFP culture et santé prévention alcoolisme,,,,
2U1,$1A elle a,"les yeux bleus,les yeux verts",2,2U,
2U2,$1A elle est,"pas à gauche,parisienne,pas à droite",3,"2U3,2U,2U4",
2U3,"Mais pour la première fois de sa vie, $1A fera barrage au fascisme et votera pour",le Nouveau Front Populaire,1,2U6,
2U6,Front national fondé par des fasciste,,,,
2U4,"Du coup, ben $1A elle vote pour",le Nouveau Front Populaire,1,2U5,
2U5,Front Populaire en 1936,,,,
2U,$1A est,"étudiante,infirmière,bi-nationale,femme de ménage,racisée,fatiguée,un abri-bus",3,"3U1,4U1,5U1,6U1,7U1,8U1,9U1",
3U1,"En principe, $1A est sensée","vivre avec 300e/mois,étudier 35h/semaines,habiter dans 8m²",3,"3U2,3U2,3U2",
3U2,"Dans les faits, $1A dépend surtout","des banques alimentaires d'urgence,de l'argent de ses parents,de son travail précaire et sous-payé qui l'empêche d'étudier",3,"3U3,3U3,3U3",
3U3,"Alors, entre deux partiels, $1A elle vote ","Nouveau Front populaire,Rassemblement National,En Marche",3,"3U4,3U5,3U6",
3U4,Enseignement sup NFP,,,,
3U5,Enseignement sup RN,,,,
3U6,Enseignement sup EM,,,,
4U1,"$1A, elle travaille","48h/semaine,pour 1550e/mois",2,"4U2,4U2",
4U2,"Entre deux COVID, $1A elle vote ","Nouveau Front populaire,Rassemblement National,En Marche",3,"4U3,4U4,4U5",
4U3,Hopital NFP,,3,,
4U4,Hopital RN,,,,
4U5,Hopital EM,,,,
5U1,"$1A aussi française que toi, mais un peu plus que","son grand-père arménien qui s'est battu contre le nazisme,le père de Marine qui a torturé des civils pour le fascisme",2,5U2,
5U2,Alors $1A vote ,"Nouveau Front populaire,Rassemblement National,En Marche",3,"5U3,5U4,5U5",
5U3,Elle vote pour NFP étrangers,,,,
5U4,Elle vote pour RN étrangers,,,,
5U5,Elle vote pour EM étrangers,,,,
6U1,"$1A elle lave tes chiottes, pourtant elle a pas le droit ","d'aller voter,de bénéficier d'aides sociales",2,6U2,
6U2,"Alors, même si ça suffit pas, on vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"6U3,6U4,6U5",
6U3,NFP étrangers,,,,
6U4,RN étrangers,,,,
6U5,EM étrangers,,,,
7U1,Juste parce qu'elle n'est pas blanche $1A elle,"se fait contrôler 10 fois plus par la police,se fait refuser des jobs",2,"7U2,7U2",
7U2,"Ca ne réglera pas tous ses problèmes, mais si elle vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"7U3,7U4,7U5",
7U3,Racisme NFP,,,,
7U4,Racisme RN,,,,
7U5,Racisme EM,,,,
8U1,"Il faut que $1A aille se reposer.
Mais avant, elle veut","aller faire un porte à porte,appeler ses potes pour essayer de les convaincre,aller tracter à la sortie du métro",3,"8U2,8U3,8U4",
8U2,Comment faire du porte à porte,,,,
8U3,Comment tracter,,,,
8U4,Comment coller,,,,
9U1,$1A aime,"le bruit que fait de la pluie sur son dos,abriter celleux qui en ont besoin,quand les bus viennent s'arrêter devant elle",3,"9U2,9U2,9U2",
9U2,$1A n'aime pas,"les nazis,le prix du ticket de bus,les pubs transphobes",3,"9U3,9U3,9U3",
9U3,Alors $1A aimerait que les usagers des services publics des transports votent pour,le Nouveau Front Populaire,1,9U4,
9U4,Programme NFP transports,,,,
4Q1,"Naruto est donc probablement Breton.
Mais Naruto ne peut pas voter, et à la place on aura","Mathilde Panot,Le Vieux,Ruffin,Poutou,n’importe qui du moment qu’iel peut défoncer Madara et Bardella",5,"4P,4P,4P,4P,4P",
